Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.078431372549,18.6486486486487,12.129840546697,3.96140172676485,7.96287249633609,5.88235294117648,7.30769230769231,8.20390282755874,2.54714266234267,1.18578998761679,7.04687220657434,1.99198836186616,1.23803928308813,7.6165897041888,-2.97125698742023,-3.27364688726264,1.97554728660143,7.91156467197911,1.21434883180251,1.0506066363106,1.800225853688,-0.090707753517691,-10.5197476066345,-3.68502958088573,3.44605475040258,-1.36986301369863,4.19823232323233,0.848227809754619,-0.450585761489947,-0.211225105612556,1.33051103719384,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83227780370231,1.41411798021916,11.2297148388595,5.35740324754602,13.8263195390595,3.92498382284521,21.390528405312,14.3624414596816,0.4263547928566,12.7522870825788,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636836,1.03066005804328,,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.4000012193617,0,4.20000142834162,6.00000216437302,3.49999948953466,2.9000017426512,4.08274863648847,6.12889047620016,0.0416214618442581,-3.45009868360485,0.991359301460875,-5.83828073313141,-23.9834174420578,1.33936343647991,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093549,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303614,0.858712615098284,4.85921958436937,3.47198137230222,8.54214733707519,4.95459047755872,4.8226255492722,0.94357561305911,-2.58009724033977,-0.147207426247036,-2.13349325676356,,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.7456352920068,2.9485968015687,1.104938261827,-1.25159664469855,1.78064395977269,5.63724317825185,-0.787842655012938,-1.42003965482247,9.83654897047623,-9.57564016948645,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.35006739254982,3.70689143341055,2.54532265145231,1.41752440769345,1.00198870924962,1.77448677132742,2.21875146034631,3.31480475341897,3.82108141669866,4.14523793594839,,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.64946536081882,8.14974348860618,7.78846720294044,5.61878972962946,0.542205658763706,3.30378704950753,2.83857556610091,1.46300017893419,0.0415571951292861,2.20872760693054,-0.132474511474584,1.24646111342553,1.7701183169325,1.78468669356819,2.32143303219918,3.2533217783064,5.54712217053806,5.09432620323219,4.82703424406914,3.7813875896292,2.54600287187638,0.929211956288896,-1.0314840109579,2.38318769098804,2.7574991873297,4.6497401487506,9.06767219910516,3.19479029605851,4.09908083663409,3.52836129711109,4.54676831970609,6.47101467082791,12.1687198869046,7.64786979021986,7.39698271536501,4.53635311915991,0.0400110668908411,-8.59000378676674,-3.69065350958851,-5.35882577533336,-4.64654305163337,-1.61521818298665,0.351645001850741,2.27768315306425,0.842203518374134,1.8891243866394,1.72402223678981,1.62934547096762,,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.8206646588348,8.23719491113104,-0.660529139206361,11.5330033844365,9.14025279313096,2.91805787609024,-9.07078837004785,-6.83656467101201,1.37096468842537,-2.29081099296452,4.70573450361994,-0.493521486963743,5.60530244395929,2.36688417562438,13.1090756375202,1.52142076431683,4.99061471672992,3.27095763656075,3.20586485932608,2.74991797047608,4.59400373761514,4.25635796761981,5.26602307237152,1.79551296214851,5.47809236378052,1.58442360764914,0.58376472675026,5.32296292448156,9.31081405494196,5.74822883081796,6.49750080676361,4.57412495071459,5.82245336326692,0.426422635376866,4.76883661862098,3.62959886981393,6.65810966781504,3.16855691625912,2.43952841674688,3.30634626221548,3.37262438438404,0.832435499383323,2.04597565441298,,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.5268565060148,21.439330170199,-1.58960331991595,20.9235730770152,23.874774910498,4.65917667406515,-6.71931618570783,-4.74582069996582,4.0169512795941,-3.59447651736838,-14.9581365645327,3.38198170900878,-2.61890770383279,12.33789128226,18.3279855336405,0.860081945778219,3.3449448618412,1.26119095149724,6.89614855052668,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.8527042125985,1.39908503032633,2.43345681036158,8.80054081486432,9.56643663716162,4.85514119630903,9.83731977348492,3.18439017367238,3.19183627610384,-5.2429219066759,1.60280996068229,6.93027162943835,4.4846260849087,5.05334582526655,4.28430368911312,5.10593698438559,3.06096430466705,0.490860760977768,1.72634934292543,,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.42784287951248,-0.852021523481966,-5.30819682651727,10.1302976614338,10.5694333403429,-0.659726171593704,3.1919966233703,4.82250078158646,9.67952600806899,3.04564331900328,5.65813108318036,1.62841651625511,2.81175404095775,5.53380439483222,-0.0284121027670921,-2.01825151667566,6.93414775537975,-4.50612480247693,10.2227634648727,1.51878394940456,-5.18978914005386,-0.735659161627297,4.34909327957422,1.57073870223007,-5.18902435215529,6.15337706274559,2.70486882600891,-1.08993334173134,-7.15694965554972,-2.46721377637459,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.52668982715234,8.1110467707457,3.85017885156229,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.66859037935303,-2.48179244509274,,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6999984849208,-41.8000027447203,-8.79999879416236,5.40000278277381,6.89999841554014,5.86540075090531,3.32107969826836,7.29999998931331,3.30000000199068,5.90000000103537,9.55664149980662,13.1863005304562,14.0407950552142,10.4678418560027,13.8657112537337,13.1980035180683,13.7492019576137,6.90000000204793,-14.1499886393402,2.19999999752649,4.69999999879775,7.20000000365837,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965322,,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814111261872426,0.538358008075377,-0.401606425702823,-4.16666666666666,1.96353436185133,-2.61348005502062,-4.23728813559323,0.442477876106182,0.293685756240819,-4.39238653001463,-2.75650842266464,0.944881889763806,1.40405616224648,-2.76923076923077,-5.85443037974683,2.18487394957982,,
